INFO: STARTING!
INFO: Log parameter values verbosely: [0]
INFO: Min num runs: [10]
INFO: Num threads: [1]
INFO: Graph: [/home/jovyan/tflite_models/ResNet152.tflite]
INFO: Signature to run: []
INFO: Enable op profiling: [1]
INFO: #threads used for CPU inference: [1]
INFO: Loaded model /home/jovyan/tflite_models/ResNet152.tflite
INFO: The input model file size (MB): 240.571
INFO: Initialized session in 586.382ms.
INFO: Running benchmark for at least 1 iterations and at least 0.5 seconds but terminate if exceeding 150 seconds.
INFO: count=1 curr=697941 p5=697941 median=697941 p95=697941

INFO: Running benchmark for at least 10 iterations and at least 1 seconds but terminate if exceeding 150 seconds.
INFO: count=10 first=687280 curr=683452 min=682607 max=687473 avg=684591 std=1609 p5=682607 median=684310 p95=687473

INFO: Inference timings in us: Init: 586382, First inference: 697941, Warmup (avg): 697941, Inference (avg): 684591
INFO: Note: as the benchmark tool itself affects memory footprint, the following is only APPROXIMATE to the actual memory footprint of the model at runtime. Take the information at your discretion.
INFO: Memory footprint delta from the start of the tool (MB): init=570.246 overall=571.746
INFO: Profiling Info for Benchmark Initialization:
============================== Run Order ==============================
	                             [node type]	  [first]	 [avg ms]	     [%]	  [cdf%]	  [mem KB]	[times called]	[Name]
	          Fully Connected (NC, F32) GEMM	    2.955	    2.936	  0.429%	 13.862%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:27
	                 Binary Elementwise (ND)	    1.178	    1.143	  0.167%	 14.029%	     0.000	        1	Delegate/Binary Elementwise (ND):28
	                  Unary Elementwise (NC)	    0.243	    0.240	  0.035%	 14.065%	     0.000	        1	Delegate/Unary Elementwise (NC):29
	          Fully Connected (NC, F32) GEMM	    2.993	    2.996	  0.438%	 14.502%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:30
	           Convolution (NHWC, F32) IGEMM	    6.354	    6.358	  0.929%	 15.431%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:31
	          Fully Connected (NC, F32) GEMM	    2.917	    2.918	  0.426%	 15.858%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:32
	                 Binary Elementwise (ND)	    1.101	    1.125	  0.164%	 16.022%	     0.000	        1	Delegate/Binary Elementwise (ND):33
	                  Unary Elementwise (NC)	    0.234	    0.253	  0.037%	 16.059%	     0.000	        1	Delegate/Unary Elementwise (NC):34
	          Fully Connected (NC, F32) GEMM	    3.008	    2.996	  0.438%	 16.497%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:35
	           Convolution (NHWC, F32) IGEMM	    6.345	    6.351	  0.928%	 17.425%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:36
	          Fully Connected (NC, F32) GEMM	    2.913	    2.916	  0.426%	 17.851%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:37
	                 Binary Elementwise (ND)	    1.157	    1.138	  0.166%	 18.017%	     0.000	        1	Delegate/Binary Elementwise (ND):38
	                  Unary Elementwise (NC)	    0.243	    0.240	  0.035%	 18.052%	     0.000	        1	Delegate/Unary Elementwise (NC):39
	          Fully Connected (NC, F32) GEMM	    2.994	    3.000	  0.438%	 18.491%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:40
	           Convolution (NHWC, F32) IGEMM	    6.338	    6.357	  0.929%	 19.420%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:41
	          Fully Connected (NC, F32) GEMM	    2.902	    2.902	  0.424%	 19.844%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:42
	                 Binary Elementwise (ND)	    1.121	    1.136	  0.166%	 20.010%	     0.000	        1	Delegate/Binary Elementwise (ND):43
	                  Unary Elementwise (NC)	    0.234	    0.247	  0.036%	 20.046%	     0.000	        1	Delegate/Unary Elementwise (NC):44
	          Fully Connected (NC, F32) GEMM	    2.999	    3.007	  0.439%	 20.485%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:45
	           Convolution (NHWC, F32) IGEMM	    6.335	    6.312	  0.922%	 21.408%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:46
	          Fully Connected (NC, F32) GEMM	    2.885	    2.909	  0.425%	 21.833%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:47
	                 Binary Elementwise (ND)	    1.118	    1.135	  0.166%	 21.999%	     0.000	        1	Delegate/Binary Elementwise (ND):48
	                  Unary Elementwise (NC)	    0.239	    0.242	  0.035%	 22.034%	     0.000	        1	Delegate/Unary Elementwise (NC):49
	          Fully Connected (NC, F32) GEMM	    2.994	    2.999	  0.438%	 22.472%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:50
	           Convolution (NHWC, F32) IGEMM	    6.338	    6.335	  0.926%	 23.398%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:51
	          Fully Connected (NC, F32) GEMM	    2.911	    2.907	  0.425%	 23.823%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:52
	                 Binary Elementwise (ND)	    1.139	    1.151	  0.168%	 23.991%	     0.000	        1	Delegate/Binary Elementwise (ND):53
	                  Unary Elementwise (NC)	    0.248	    0.260	  0.038%	 24.029%	     0.000	        1	Delegate/Unary Elementwise (NC):54
	          Fully Connected (NC, F32) GEMM	    3.084	    3.036	  0.444%	 24.473%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:55
	           Convolution (NHWC, F32) IGEMM	    6.267	    6.315	  0.923%	 25.395%	     0.000	        1	Delegate/Convolution (NHWC, F32) IGEMM:56
	          Fully Connected (NC, F32) GEMM	    2.910	    2.908	  0.425%	 25.820%	     0.000	        1	Delegate/Fully Connected (NC, F32) GEMM:57
	                 Binary Elementwise (ND)	    1.122	    1.146	  0.167%	 25.988%	     0.000	        1	Delegate/Binary Elementwise (ND):58
	                  Unary Elementwise (NC)	    0.235	    0.243	  0.036%	 26.023%	     0.000	        1	Delegate/Unary Elementwise (NC):59
